h3index,geometry,ID_HDC_G0,UC_NM_MN,CTR_MN_ISO,CTR_MN_NM,GRGN_L1,GRGN_L2,neighborhood_id
863ce6bafffffff,"POLYGON ((89.71719437508898 26.011230412624403, 89.68462717166001 26.028830413468043, 89.68678210094372 26.06263808080431, 89.69151170097142 26.06484572376518, 89.68781243596274 26.057051343171175, 89.69847416736792 26.05705133022645, 89.69446986885897 26.04862808833666, 89.7157933139905 26.04862809405893, 89.71179351463078 26.040204783528868, 89.73311688560638 26.040204850156915, 89.7199907495818 26.012535608146713, 89.71719437508898 26.011230412624403))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6bafffffff_9708
863ce6ba7ffffff,"POLYGON ((89.68678210094372 26.06263808080431, 89.68462717166001 26.028830413468043, 89.64990939686933 26.012606422926357, 89.62934792092297 26.02370845459684, 89.64516559657127 26.057051321494825, 89.65582731592107 26.05705128387338, 89.65982709994655 26.06547898020324, 89.68151863489516 26.065478986002965, 89.68678210094372 26.06263808080431))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6ba7ffffff_9708
863ce6b17ffffff,"POLYGON ((89.68678210094372 26.06263808080431, 89.68151863489516 26.065478986002965, 89.69181225275877 26.0654789887552, 89.69151170097142 26.06484572376518, 89.68678210094372 26.06263808080431))",9708,Andhari jhar,BGD,Bangladesh,Asia,South-Central Asia,863ce6b17ffffff_9708
863ce689fffffff,"POLYGON ((89.37246979041977 25.882496798826203, 89.38823330613212 25.87399062025525, 89.38718433748224 25.87175785089043, 89.37653154108918 25.871757848150565, 89.37258077325987 25.86333459487014, 89.3619324073488 25.863334550116072, 89.36588321303311 25.871757809001988, 89.35523039102908 25.87175778504392, 89.35681188758967 25.875127876359816, 89.36753978204871 25.880176638212156, 89.36983391844747 25.88017664214901, 89.37048492539496 25.88156268161825, 89.37246979041977 25.882496798826203))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce689fffffff_9684
863ce68d7ffffff,"POLYGON ((89.44177894708783 25.915076879885177, 89.45711934099707 25.922279466553558, 89.47485917903468 25.92227941935901, 89.47089498588346 25.91386062112052, 89.46023775660092 25.91386061596419, 89.44835426718166 25.88859542990416, 89.44011791122144 25.88859537554216, 89.44048998103413 25.894527197100256, 89.44166117249814 25.89701860162654, 89.4406462530311 25.897018604811578, 89.44177894708783 25.915076879885177))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce68d7ffffff_9684
863ce688fffffff,"MULTIPOLYGON (((89.44011791122144 25.88859537554216, 89.43770146661143 25.888595359593022, 89.44048998103413 25.894527197100256, 89.44011791122144 25.88859537554216)), ((89.44177894708783 25.915076879885177, 89.4406462530311 25.897018604811578, 89.42035557124989 25.897018668488148, 89.41640032124953 25.88859542913161, 89.40574757838708 25.88859537121722, 89.4017923261589 25.880176631728553, 89.39113951755773 25.880176600970238, 89.38823330613212 25.87399062025525, 89.37246979041977 25.882496798826203, 89.37270702375065 25.886293684931477, 89.37774442552691 25.897018666763383, 89.37337713143013 25.897018664122832, 89.37390314481632 25.905437434410278, 89.38170408052406 25.905437434153725, 89.38566377747254 25.91386061698827, 89.39631652738676 25.913860643021447, 89.40696932902598 25.913860612424827, 89.41093345853157 25.922279460807278, 89.4215862622459 25.92227945576773, 89.42297104522595 25.925221942660333, 89.44177894708783 25.915076879885177)))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce688fffffff_9684
863ce6887ffffff,"MULTIPOLYGON (((89.35681188758967 25.875127876359816, 89.35918113401996 25.880176623868294, 89.36753978204871 25.880176638212156, 89.35681188758967 25.875127876359816)), ((89.37246979041977 25.882496798826203, 89.37048492539496 25.88156268161825, 89.37270702375065 25.886293684931477, 89.37246979041977 25.882496798826203)), ((89.37337713143013 25.897018664122832, 89.3670915752978 25.897018660322463, 89.37105127150967 25.90543743450407, 89.37390314481632 25.905437434410278, 89.37337713143013 25.897018664122832)))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce6887ffffff_9684
863ce68f7ffffff,"POLYGON ((89.44177894708783 25.915076879885177, 89.42297104522595 25.925221942660333, 89.4255503846458 25.930702709353582, 89.45751770418384 25.930702720950833, 89.4535491126115 25.92227947605169, 89.45711934099707 25.922279466553558, 89.44177894708783 25.915076879885177))",9684,Lalmonirhat,BGD,Bangladesh,Asia,South-Central Asia,863ce68f7ffffff_9684
863ce6d47ffffff,"POLYGON ((89.17101180826926 25.886104900792052, 89.19766910038878 25.871757850604205, 89.19545633266559 25.871757859226793, 89.18480802094089 25.87175777949233, 89.1808616744757 25.863334572915313, 89.17021338758045 25.86333461701361, 89.1623341200079 25.84649703335559, 89.13497570920492 25.846496992686394, 89.1356714637329 25.8577961174449, 89.14264878386486 25.872708310352664, 89.17101180826926 25.886104900792052))",9645,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d47ffffff_9645
863ce6d77ffffff,"POLYGON ((89.13497570920492 25.846496992686394, 89.13038467199429 25.846496985861663, 89.1356714637329 25.8577961174449, 89.13497570920492 25.846496992686394))",9645,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d77ffffff_9645
863ce6d6fffffff,"POLYGON ((89.17101180826926 25.886104900792052, 89.17116560012478 25.888595427413897, 89.20334892794013 25.888595422304412, 89.19940264067391 25.88017664137646, 89.21005547224499 25.88017659799681, 89.20610911146065 25.871757817715647, 89.19766910038878 25.871757850604205, 89.17101180826926 25.886104900792052))",9645,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d6fffffff_9645
863ce6d67ffffff,"POLYGON ((89.17101180826926 25.886104900792052, 89.14264878386486 25.872708310352664, 89.14614314169712 25.88017658428852, 89.15679591173361 25.880176640657805, 89.16074226847554 25.888595429068726, 89.17116560012478 25.888595427413897, 89.17101180826926 25.886104900792052))",9645,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d67ffffff_9645
863ce612fffffff,"MULTIPOLYGON (((89.50685874153844 25.879935079778246, 89.5219862580413 25.871757808449352, 89.51500446448429 25.87175781781446, 89.51104478361566 25.86333453472793, 89.50039198346764 25.863334560015506, 89.5043516475288 25.871757851878577, 89.48944135832431 25.871757845786778, 89.50685874153844 25.879935079778246)), ((89.47219194666079 25.86365947224503, 89.48123753388452 25.867906257333775, 89.4790908500713 25.863334550071155, 89.47217154643687 25.863334586256403, 89.47219194666079 25.86365947224503)))",9695,Kulaghat,BGD,Bangladesh,Asia,South-Central Asia,863ce612fffffff_9695
863ce6127ffffff,"POLYGON ((89.47219194666079 25.86365947224503, 89.47217154643687 25.863334586256403, 89.46844252534798 25.86333460575772, 89.45778968893498 25.863334589767707, 89.4538389458902 25.85491580614481, 89.44318616888279 25.85491581800257, 89.43923542025048 25.846497024219723, 89.42858704028977 25.84649699121562, 89.44383477182814 25.878974711063215, 89.47219194666079 25.86365947224503))",9695,Kulaghat,BGD,Bangladesh,Asia,South-Central Asia,863ce6127ffffff_9695
863ce68dfffffff,"MULTIPOLYGON (((89.50846456657379 25.905437444804587, 89.50954205890133 25.905437449047795, 89.50829823682345 25.902795935353314, 89.50846456657379 25.905437444804587)), ((89.50685874153844 25.879935079778246, 89.50793445538464 25.89701866395819, 89.52688350956055 25.897018604707764, 89.5189596438052 25.880176567831384, 89.529612422744 25.880176559252476, 89.52565276167422 25.871757803531246, 89.5219862580413 25.871757808449352, 89.50685874153844 25.879935079778246)))",9695,Kulaghat,BGD,Bangladesh,Asia,South-Central Asia,863ce68dfffffff_9695
863ce68d7ffffff,"POLYGON ((89.47219194666079 25.86365947224503, 89.44383477182814 25.878974711063215, 89.444399051461 25.880176628593432, 89.45505179263463 25.880176559845363, 89.45900703238522 25.888595353637193, 89.46965983131152 25.88859540178689, 89.47361953223954 25.897018619556917, 89.4842723098039 25.89701860295605, 89.49492511381467 25.897018620293533, 89.49888921533774 25.90543740709647, 89.50846456657379 25.905437444804587, 89.50829823682345 25.902795935353314, 89.5055778691188 25.897018671326826, 89.50793445538464 25.89701866395819, 89.50685874153844 25.879935079778246, 89.48944135832431 25.871757845786778, 89.48304607859293 25.8717578431739, 89.48123753388452 25.867906257333775, 89.47219194666079 25.86365947224503))",9695,Kulaghat,BGD,Bangladesh,Asia,South-Central Asia,863ce68d7ffffff_9695
863ce6d4fffffff,"POLYGON ((89.20336339626184 25.865890485344064, 89.20494483144223 25.869269861993004, 89.21021865379574 25.87175782157442, 89.22741469328733 25.871757837721127, 89.22346842620624 25.863334549604033, 89.23411674801002 25.863334590207884, 89.22229566118486 25.838078273538045, 89.21164285182911 25.838078203433522, 89.20164406268172 25.838078210379898, 89.20336339626184 25.865890485344064))",9649,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d4fffffff_9649
863ce6d47ffffff,"POLYGON ((89.20164406268172 25.838078210379898, 89.19034619163865 25.838078218228773, 89.19428362862185 25.846497037954965, 89.18363522726327 25.846497009128026, 89.18757266126406 25.854915831432383, 89.16627151015294 25.854915766556054, 89.17021338758045 25.86333461701361, 89.19151450674747 25.863334589129906, 89.20216730376936 25.863334549388437, 89.20336339626184 25.865890485344064, 89.20164406268172 25.838078210379898))",9649,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d47ffffff_9649
863ce6d6fffffff,"POLYGON ((89.20494483144223 25.869269861993004, 89.20610911146065 25.871757817715647, 89.21021865379574 25.87175782157442, 89.20494483144223 25.869269861993004))",9649,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d6fffffff_9649
863ce6c67ffffff,"POLYGON ((89.23395403442906 25.817232233257492, 89.26857009840829 25.833561375603242, 89.28095147637431 25.826883470806585, 89.27831091856311 25.82124070516935, 89.2676625638181 25.82124071035263, 89.24636591219756 25.821240649141426, 89.24242852840362 25.81282184473151, 89.23368108695246 25.81282186269318, 89.23395403442906 25.817232233257492))",9665,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6c67ffffff_9665
863ce6d5fffffff,"MULTIPOLYGON (((89.23395403442906 25.817232233257492, 89.23368108695246 25.81282186269318, 89.23178014422082 25.812821866596504, 89.23386521959081 25.817280094026916, 89.23395403442906 25.817232233257492)), ((89.22651562584831 25.821240662084975, 89.21442090688305 25.821240648198195, 89.21685553524043 25.82644631666127, 89.22651562584831 25.821240662084975)))",9665,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d5fffffff_9665
863ce6897ffffff,"POLYGON ((89.26857009840829 25.833561375603242, 89.26945506422929 25.84782065060344, 89.27277716014748 25.854915776841764, 89.29407828403964 25.854915820508868, 89.2901364231591 25.84649699571618, 89.30078478405757 25.84649701785965, 89.296842927453 25.8380781963009, 89.28619011925608 25.838078239545794, 89.28095147637431 25.826883470806585, 89.26857009840829 25.833561375603242))",9665,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6897ffffff_9665
863ce6d4fffffff,"POLYGON ((89.21685553524043 25.82644631666127, 89.22229566118486 25.838078273538045, 89.23294400117953 25.838078265039982, 89.23688586272483 25.84649701235298, 89.25818250610781 25.846497007834454, 89.26883531858971 25.846497036337997, 89.26945506422929 25.84782065060344, 89.26857009840829 25.833561375603242, 89.23395403442906 25.817232233257492, 89.23386521959081 25.817280094026916, 89.23571754881077 25.821240672650337, 89.22651562584831 25.821240662084975, 89.21685553524043 25.82644631666127))",9665,N/A,BGD,Bangladesh,Asia,South-Central Asia,863ce6d4fffffff_9665
863ce615fffffff,"POLYGON ((89.63701784222286 25.80950182697125, 89.66208314113672 25.8212406288412, 89.67231257370408 25.821240700614894, 89.65650508921541 25.787565522438218, 89.64585676565093 25.7875654961086, 89.6356282855163 25.78756552992387, 89.63701784222286 25.80950182697125))",9721,Kurigram,BGD,Bangladesh,Asia,South-Central Asia,863ce615fffffff_9721
863ce6157ffffff,"POLYGON ((89.60447818055563 25.82712881776681, 89.63701784222286 25.80950182697125, 89.6356282855163 25.78756552992387, 89.62456452173113 25.787565566500582, 89.62851088848927 25.795984290951456, 89.61786251280454 25.7959842955149, 89.621813288539 25.804403129425488, 89.60051663698135 25.804403088156885, 89.60841811415962 25.82124069653654, 89.5977698318907 25.821240659633748, 89.59942240786093 25.824758205490596, 89.60447818055563 25.82712881776681))",9721,Kurigram,BGD,Bangladesh,Asia,South-Central Asia,863ce6157ffffff_9721
